Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Learn 70%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Learn 70%;
Date;Q
01/09/72;0.868
02/09/72;0.868
03/09/72;0.868
04/09/72;0.868
05/09/72;0.868
06/09/72;0.868
07/09/72;0.868
08/09/72;0.868
09/09/72;0.868
10/09/72;0.868
11/09/72;0.868
12/09/72;0.868
13/09/72;0.868
14/09/72;0.868
15/09/72;0.868
16/09/72;0.905
17/09/72;0.905
18/09/72;0.943
19/09/72;0.943
20/09/72;0.98
21/09/72;0.943
22/09/72;0.943
23/09/72;1.22
24/09/72;0.98
25/09/72;0.98
26/09/72;1.06
27/09/72;1.06
28/09/72;1.06
29/09/72;1.06
30/09/72;1.06
01/10/72;0.98
02/10/72;0.98
03/10/72;0.98
04/10/72;0.98
05/10/72;0.98
06/10/72;0.98
07/10/72;0.98
08/10/72;0.98
09/10/72;1.06
10/10/72;1.14
11/10/72;0.98
12/10/72;1.06
13/10/72;1.06
14/10/72;1.06
15/10/72;1.14
16/10/72;1.06
17/10/72;1.06
18/10/72;1.06
19/10/72;1.06
20/10/72;1.06
21/10/72;1.06
22/10/72;1.06
23/10/72;1.06
24/10/72;1.06
25/10/72;1.06
26/10/72;1.06
27/10/72;0.98
28/10/72;0.98
29/10/72;1.06
30/10/72;1.14
31/10/72;1.22
01/11/72;1.14
02/11/72;1.14
03/11/72;1.14
04/11/72;1.14
05/11/72;1.06
06/11/72;1.06
07/11/72;1.06
08/11/72;1.14
09/11/72;1.14
10/11/72;1.14
11/11/72;1.14
12/11/72;1.14
13/11/72;1.06
14/11/72;1.14
15/11/72;1.14
16/11/72;1.14
17/11/72;1.06
18/11/72;1.06
19/11/72;1.06
20/11/72;1.14
21/11/72;1.14
22/11/72;1.14
23/11/72;1.14
24/11/72;1.14
25/11/72;1.22
26/11/72;1.3
27/11/72;1.22
28/11/72;1.22
29/11/72;1.3
30/11/72;1.3
01/12/72;1.22
02/12/72;1.22
03/12/72;1.22
04/12/72;1.14
05/12/72;1.14
06/12/72;1.14
07/12/72;1.14
08/12/72;1.06
09/12/72;1.06
10/12/72;1.06
11/12/72;1.06
12/12/72;1.06
13/12/72;1.06
14/12/72;1.06
15/12/72;0.98
16/12/72;0.98
17/12/72;1.06
18/12/72;1.06
19/12/72;1.06
20/12/72;1.06
21/12/72;1.06
22/12/72;1.06
23/12/72;1.06
24/12/72;1.06
25/12/72;1.06
26/12/72;1.06
27/12/72;1.06
28/12/72;1.06
29/12/72;1.06
30/12/72;1.06
31/12/72;1.06
01/01/73;1.06
02/01/73;1.06
03/01/73;1.06
04/01/73;1.14
05/01/73;1.06
06/01/73;1.06
07/01/73;1.06
08/01/73;1.06
09/01/73;1.06
10/01/73;1.06
11/01/73;1.06
12/01/73;1.06
13/01/73;1.06
14/01/73;1.06
15/01/73;1.14
16/01/73;1.22
17/01/73;1.38
18/01/73;1.3
19/01/73;1.3
20/01/73;1.22
21/01/73;1.22
22/01/73;1.14
23/01/73;1.06
24/01/73;1.06
25/01/73;1.06
26/01/73;1.06
27/01/73;1.06
28/01/73;1.06
29/01/73;1.78
30/01/73;1.54
31/01/73;1.54
01/02/73;1.46
02/02/73;1.46
03/02/73;1.54
04/02/73;1.46
05/02/73;1.38
06/02/73;1.38
07/02/73;1.38
08/02/73;1.38
09/02/73;1.38
10/02/73;1.54
11/02/73;3.63
12/02/73;3.54
13/02/73;3.54
14/02/73;3.21
15/02/73;3.04
16/02/73;3.04
17/02/73;3.04
18/02/73;3.21
19/02/73;4.05
20/02/73;5.42
21/02/73;7.39
22/02/73;9.39
23/02/73;8.63
24/02/73;6.14
25/02/73;5.06
26/02/73;4.22
27/02/73;3.88
28/02/73;3.54
01/03/73;3.21
02/03/73;2.79
03/03/73;2.66
04/03/73;2.66
05/03/73;2.41
06/03/73;2.41
07/03/73;2.41
08/03/73;3.15
09/03/73;4.44
10/03/73;5.47
11/03/73;4.72
12/03/73;4.22
13/03/73;3.71
14/03/73;3.54
15/03/73;3.21
16/03/73;2.91
17/03/73;2.66
18/03/73;2.66
19/03/73;6.27
20/03/73;7.07
21/03/73;5.9
22/03/73;6.58
23/03/73;7.03
24/03/73;56.2
25/03/73;103
26/03/73;36.5
27/03/73;17.6
28/03/73;13
29/03/73;10.1
30/03/73;9.36
31/03/73;8.16
01/04/73;7.3
02/04/73;6.78
03/04/73;6.44
04/04/73;5.92
05/04/73;5.75
06/04/73;5.41
07/04/73;4.72
08/04/73;4.55
09/04/73;4.38
10/04/73;4.22
11/04/73;4.05
12/04/73;3.88
13/04/73;3.88
14/04/73;3.88
15/04/73;3.71
16/04/73;3.54
17/04/73;3.21
18/04/73;3.54
19/04/73;3.38
20/04/73;3.54
21/04/73;3.21
22/04/73;3.21
23/04/73;2.91
24/04/73;2.79
25/04/73;2.66
26/04/73;2.54
27/04/73;2.41
28/04/73;2.28
29/04/73;2.16
30/04/73;2.03
01/05/73;2.03
02/05/73;1.91
03/05/73;1.91
04/05/73;1.91
05/05/73;1.78
06/05/73;1.7
07/05/73;1.7
08/05/73;1.62
09/05/73;1.54
10/05/73;1.54
11/05/73;1.46
12/05/73;1.54
13/05/73;1.46
14/05/73;1.54
15/05/73;1.54
16/05/73;1.54
17/05/73;1.54
18/05/73;1.54
19/05/73;1.54
20/05/73;1.46
