Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q-4;Q-3;Q-2;Q-1
01/09/72;0.868;0.868;0.868;0.868
02/09/72;0.868;0.868;0.868;0.868
03/09/72;0.868;0.868;0.868;0.868
04/09/72;0.868;0.868;0.868;0.868
05/09/72;0.868;0.868;0.868;0.868
06/09/72;0.868;0.868;0.868;0.868
07/09/72;0.868;0.868;0.868;0.868
08/09/72;0.868;0.868;0.868;0.868
09/09/72;0.868;0.868;0.868;0.868
10/09/72;0.868;0.868;0.868;0.868
11/09/72;0.868;0.868;0.868;0.868
12/09/72;0.868;0.868;0.868;0.868
13/09/72;0.868;0.868;0.868;0.868
14/09/72;0.868;0.868;0.868;0.868
15/09/72;0.868;0.868;0.868;0.868
16/09/72;0.868;0.868;0.868;0.868
17/09/72;0.868;0.868;0.868;0.905
18/09/72;0.868;0.868;0.905;0.905
19/09/72;0.868;0.905;0.905;0.943
20/09/72;0.905;0.905;0.943;0.943
21/09/72;0.905;0.943;0.943;0.98
22/09/72;0.943;0.943;0.98;0.943
23/09/72;0.943;0.98;0.943;0.943
24/09/72;0.98;0.943;0.943;1.22
25/09/72;0.943;0.943;1.22;0.98
26/09/72;0.943;1.22;0.98;0.98
27/09/72;1.22;0.98;0.98;1.06
28/09/72;0.98;0.98;1.06;1.06
29/09/72;0.98;1.06;1.06;1.06
30/09/72;1.06;1.06;1.06;1.06
01/10/72;1.06;1.06;1.06;1.06
02/10/72;1.06;1.06;1.06;0.98
03/10/72;1.06;1.06;0.98;0.98
04/10/72;1.06;0.98;0.98;0.98
05/10/72;0.98;0.98;0.98;0.98
06/10/72;0.98;0.98;0.98;0.98
07/10/72;0.98;0.98;0.98;0.98
08/10/72;0.98;0.98;0.98;0.98
09/10/72;0.98;0.98;0.98;0.98
10/10/72;0.98;0.98;0.98;1.06
11/10/72;0.98;0.98;1.06;1.14
12/10/72;0.98;1.06;1.14;0.98
13/10/72;1.06;1.14;0.98;1.06
14/10/72;1.14;0.98;1.06;1.06
15/10/72;0.98;1.06;1.06;1.06
16/10/72;1.06;1.06;1.06;1.14
17/10/72;1.06;1.06;1.14;1.06
18/10/72;1.06;1.14;1.06;1.06
19/10/72;1.14;1.06;1.06;1.06
20/10/72;1.06;1.06;1.06;1.06
21/10/72;1.06;1.06;1.06;1.06
22/10/72;1.06;1.06;1.06;1.06
23/10/72;1.06;1.06;1.06;1.06
24/10/72;1.06;1.06;1.06;1.06
25/10/72;1.06;1.06;1.06;1.06
26/10/72;1.06;1.06;1.06;1.06
27/10/72;1.06;1.06;1.06;1.06
28/10/72;1.06;1.06;1.06;0.98
29/10/72;1.06;1.06;0.98;0.98
30/10/72;1.06;0.98;0.98;1.06
31/10/72;0.98;0.98;1.06;1.14
01/11/72;0.98;1.06;1.14;1.22
02/11/72;1.06;1.14;1.22;1.14
03/11/72;1.14;1.22;1.14;1.14
04/11/72;1.22;1.14;1.14;1.14
05/11/72;1.14;1.14;1.14;1.14
