Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Débits Moyens Journaliers ( m3/s ) Station Beni-Bahdel. Code 160402) Test 30%;
Date;Q
01/09/72;9.93
02/09/72;5.01
03/09/72;0.415
04/09/72;0.369
05/09/72;0.322
06/09/72;0.299
07/09/72;0.299
08/09/72;0.276
09/09/72;0.229
10/09/72;9.39
11/09/72;1.74
12/09/72;0.736
13/09/72;0.701
14/09/72;0.667
15/09/72;0.667
16/09/72;0.667
17/09/72;0.667
18/09/72;0.667
19/09/72;0.633
20/09/72;0.633
21/09/72;0.701
22/09/72;0.667
23/09/72;0.667
24/09/72;0.701
25/09/72;0.667
26/09/72;0.667
27/09/72;0.138
28/09/72;0.138
29/09/72;0.138
30/09/72;0.115
01/10/72;0.138
02/10/72;0.115
03/10/72;0.115
04/10/72;0.138
05/10/72;0.162
06/10/72;0.162
07/10/72;0.162
08/10/72;0.162
09/10/72;0.162
10/10/72;0.162
11/10/72;0.162
12/10/72;0.162
13/10/72;0.162
14/10/72;0.162
15/10/72;0.162
16/10/72;0.162
17/10/72;0.162
18/10/72;0.185
19/10/72;0.185
20/10/72;0.185
21/10/72;0.232
22/10/72;0.232
23/10/72;0.232
24/10/72;0.232
25/10/72;0.26
26/10/72;0.489
27/10/72;0.27
28/10/72;0.27
29/10/72;0.27
30/10/72;0.232
31/10/72;0.27
01/11/72;0.232
02/11/72;0.232
03/11/72;0.232
04/11/72;0.232
05/11/72;0.27
06/11/72;0.27
07/11/72;0.232
08/11/72;0.232
09/11/72;0.27
10/11/72;0.27
11/11/72;0.27
12/11/72;0.232
13/11/72;0.27
14/11/72;0.27
15/11/72;0.27
16/11/72;0.27
17/11/72;0.345
18/11/72;0.27
19/11/72;0.27
20/11/72;0.27
21/11/72;0.27
22/11/72;0.27
23/11/72;0.27
24/11/72;0.27
25/11/72;0.27
26/11/72;0.232
27/11/72;0.232
28/11/72;0.232
29/11/72;0.232
30/11/72;0.232
01/12/72;0.939
02/12/72;3.76
03/12/72;21.4
04/12/72;1.68
05/12/72;0.904
06/12/72;0.61
07/12/72;0.497
08/12/72;0.464
09/12/72;0.308
10/12/72;0.345
11/12/72;0.308
12/12/72;0.27
13/12/72;0.27
14/12/72;0.27
15/12/72;0.27
16/12/72;0.27
17/12/72;0.27
18/12/72;0.232
19/12/72;0.209
20/12/72;0.209
21/12/72;0.33
22/12/72;1.39
23/12/72;0.308
24/12/72;0.27
25/12/72;4.68
26/12/72;2.12
27/12/72;3.38
28/12/72;2.34
29/12/72;1.85
30/12/72;1.82
31/12/72;1.68
01/01/73;1.54
02/01/73;1.47
03/01/73;1.35
04/01/73;1.41
05/01/73;1.35
06/01/73;1.35
07/01/73;1.32
08/01/73;1.32
09/01/73;1.32
10/01/73;1.53
11/01/73;1.35
12/01/73;1.35
13/01/73;1.35
14/01/73;1.32
15/01/73;1.5
16/01/73;2.04
17/01/73;2.79
18/01/73;3.47
19/01/73;3.87
20/01/73;5.13
21/01/73;3.98
22/01/73;2.94
23/01/73;2.32
24/01/73;1.99
25/01/73;1.99
26/01/73;6.31
27/01/73;8.34
28/01/73;6.47
29/01/73;9.56
30/01/73;5.72
31/01/73;5.55
01/02/73;4.2
02/02/73;3.89
03/02/73;3.89
04/02/73;4.2
05/02/73;4.04
06/02/73;3.58
07/02/73;3.17
08/02/73;2.91
09/02/73;2.49
10/02/73;2.21
11/02/73;2.07
12/02/73;1.93
13/02/73;1.73
14/02/73;1.6
15/02/73;1.47
16/02/73;1.41
17/02/73;1.27
18/02/73;1.34
19/02/73;1.16
20/02/73;1.11
21/02/73;1.06
22/02/73;1.01
23/02/73;1.01
24/02/73;0.955
25/02/73;1.06
26/02/73;1.01
27/02/73;0.955
28/02/73;0.904
01/03/73;0.904
02/03/73;0.853
03/03/73;0.802
04/03/73;0.751
05/03/73;0.7
06/03/73;0.7
07/03/73;0.664
08/03/73;0.628
09/03/73;0.628
10/03/73;0.592
11/03/73;0.592
12/03/73;0.592
13/03/73;0.592
14/03/73;0.664
15/03/73;0.628
16/03/73;0.664
17/03/73;0.7
18/03/73;0.664
19/03/73;0.743
20/03/73;0.979
21/03/73;1.06
22/03/73;0.853
23/03/73;0.751
24/03/73;0.751
25/03/73;0.751
26/03/73;0.746
27/03/73;1.7
28/03/73;1.05
29/03/73;0.853
30/03/73;0.845
31/03/73;2.53
01/04/73;1.11
02/04/73;1.16
03/04/73;1.11
04/04/73;1.06
05/04/73;1.01
06/04/73;1.01
07/04/73;0.955
08/04/73;0.904
09/04/73;0.853
10/04/73;0.904
11/04/73;0.751
12/04/73;0.7
13/04/73;0.664
14/04/73;0.628
15/04/73;0.592
16/04/73;0.592
17/04/73;0.556
18/04/73;0.592
19/04/73;0.628
20/04/73;0.628
21/04/73;0.628
22/04/73;0.592
23/04/73;0.556
24/04/73;0.592
25/04/73;0.592
26/04/73;0.592
27/04/73;0.556
28/04/73;0.52
29/04/73;0.52
30/04/73;1.93
01/05/73;7.88
02/05/73;10
03/05/73;1.68
04/05/73;0.865
05/05/73;0.952
06/05/73;30
07/05/73;2.23
08/05/73;0.9
09/05/73;0.8
10/05/73;0.652
11/05/73;0.652
12/05/73;0.604
13/05/73;0.557
14/05/73;0.509
15/05/73;0.461
16/05/73;0.461
17/05/73;0.413
18/05/73;0.366
19/05/73;0.366
20/05/73;0.461
21/05/73;0.366
22/05/73;0.366
23/05/73;0.366
24/05/73;0.318
25/05/73;0.318
26/05/73;0.27
27/05/73;0.27
28/05/73;0.27
29/05/73;0.318
30/05/73;0.27
31/05/73;0.318
01/06/73;0.318
02/06/73;0.318
03/06/73;0.366
04/06/73;0.318
05/06/73;3.11
06/06/73;2.37
07/06/73;1.59
08/06/73;0.939
09/06/73;0.367
10/06/73;0.224
11/06/73;0.224
12/06/73;0.224
13/06/73;0.224
14/06/73;0.224
15/06/73;0.224
16/06/73;0.224
17/06/73;0.224
18/06/73;0.224
19/06/73;0.224
20/06/73;0.224
21/06/73;0.224
22/06/73;0.295
23/06/73;0.224
24/06/73;0.224
25/06/73;0.224
26/06/73;0.224
27/06/73;0.153
28/06/73;0.153
29/06/73;0.153
30/06/73;0.153
01/07/73;0.153
02/07/73;0.153
03/07/73;0.153
04/07/73;0.153
05/07/73;0.153
06/07/73;0.153
07/07/73;0.153
08/07/73;0.224
09/07/73;0.224
10/07/73;0.224
11/07/73;0.224
12/07/73;0.224
13/07/73;0.224
14/07/73;0.224
15/07/73;0.224
16/07/73;0.224
17/07/73;0.224
18/07/73;0.224
19/07/73;0.224
20/07/73;0.224
21/07/73;0.224
22/07/73;0.367
23/07/73;0.367
24/07/73;0.295
25/07/73;0.295
26/07/73;0.295
27/07/73;0.295
28/07/73;0.295
29/07/73;0.295
30/07/73;0.367
31/07/73;0.295
01/08/73;0.581
02/08/73;0.295
03/08/73;0.295
04/08/73;0.295
05/08/73;0.224
06/08/73;0.224
07/08/73;0.224
08/08/73;0.295
