(70%-ENTRAINEMENT) Apports Liquides-Solide Barrage Sidi Aissa;
Apports Liquides Q-Solide C. Barrage Sidi Aissa RU160614 (70% =1418 observations);
N;C
1;59.73
2;57.26
3;56.6
4;59.74
5;60.16
6;66.02
7;68.06
8;70.52
9;66.58
10;77.61
11;72.36
12;72.34
13;70.2
14;74.6
15;74.22
16;71.5
17;66.58
18;68.3
19;70.05
20;64.98
21;63.8
22;64.16
23;61.62
24;2.44
25;0.14
26;0.44
27;1.41
28;0.2
29;0.71
30;0.05
31;0.08
32;0.08
33;0.08
34;0.03
35;0.04
36;0.03
37;0.04
38;0.03
39;0.05
40;0.04
41;0.03
42;0.03
43;0.03
44;0.04
45;0.03
46;0.04
47;0.05
48;0.03
49;0.03
50;0.05
51;0.05
52;0.05
53;0.05
54;0.04
55;0.04
56;0.06
57;0.05
58;0.07
59;0.06
60;0.05
61;0.05
62;0.06
63;0.04
64;0.04
65;0.04
66;0.03
67;0.03
68;0.04
69;0.04
70;0.05
71;0.04
72;0.05
73;0.03
74;0.01
75;0.04
76;0.07
77;0.04
78;0.05
79;0.03
80;0.01
81;0.1
82;0.07
83;0.1
84;0.05
85;0.1
86;0.11
87;0.15
88;10.8
89;12.44
90;5.99
91;11.88
92;12.44
93;13.57
94;14.99
95;17.31
96;13.33
97;17.68
98;17.16
99;13.11
100;12.69
101;10.53
102;6.26
103;3.37
104;4.95
105;5.89
106;1.81
107;1.62
108;1.51
109;14.86
110;9.59
111;0.72
112;0.27
113;0.53
114;1.28
115;3.04
116;0.38
117;0.35
118;0.2
119;0.31
120;0.15
121;0.26
122;0.23
123;0.3
124;0.22
125;0.2
126;0.14
127;1.22
128;2.61
129;0.7
130;0.69
131;0.11
132;0.11
133;0.09
134;0.16
135;0.47
136;0.41
137;0.48
138;0.11
139;0.11
140;0.86
141;4.16
142;7.24
143;6.78
144;10.07
145;11.09
146;11.41
147;0.29
148;0.83
149;0.09
150;0.3
151;0.31
152;0.22
153;0.1
154;0.12
155;0.06
156;0.14
157;0.06
158;0.34
159;0.1
160;0.09
161;0.06
162;0.1
163;0.08
164;0.06
165;0.1
166;0.08
167;0.07
168;0.06
169;0.08
170;0.08
171;0.06
172;0.1
173;0.08
174;0.08
175;0.06
176;0.08
177;0.1
178;0.06
179;0.08
180;0.05
181;0.22
182;0.04
183;0.04
184;0.04
185;0.06
186;0.09
187;0.12
188;0.1
189;0.12
190;0.18
191;0.12
192;0.08
193;0.1
194;0.1
195;0.15
196;0.12
197;0.4
198;4.08
199;0.6
200;0.14
201;0.1
202;0.11
203;0.08
204;0.24
205;0.7
206;10.3
207;1.32
208;11.62
209;12.46
210;11.66
211;26.26
212;9.54
213;5.48
214;3.7
215;0.7
216;0.5
217;1.2
218;2.16
219;1.7
220;2.35
221;1.12
222;38.18
223;17.66
224;0.86
225;5.84
226;7.54
227;17.98
228;0.26
229;0.07
230;0.1
231;0.08
232;0.1
233;0.06
234;0.06
235;15.1
236;0.09
237;0.04
238;0.05
239;0.07
240;0.03
241;0.03
242;0.04
243;0.05
244;0.04
245;0.03
246;0.04
247;0.04
248;0.04
249;0.03
250;0.05
251;0.06
252;0.06
253;0.04
254;0.08
255;0.06
256;0.04
257;0.08
258;0.08
259;0.07
260;0.04
261;0.04
262;0.06
263;0.06
264;0.06
265;0.04
266;0.41
267;0.96
268;0.16
269;0.14
270;0.08
271;0.08
272;0.06
273;0.1
274;0.1
275;0.05
276;0.18
277;0.04
278;0.12
279;1.36
280;0.1
281;0.06
282;0.68
283;0.58
284;0.68
285;0.46
286;0.62
287;0.54
288;0.36
289;0.18
290;0.07
291;0.06
292;0.44
293;0.38
294;0.5
295;0.14
296;0.08
297;0.06
298;0.04
299;0
300;0
301;0
302;0
303;0
304;0.5
305;43.74
306;45.26
307;32.48
308;44.98
309;43.54
310;45.28
311;38.82
312;39.9
313;29.66
314;24.84
315;39.32
316;36.06
317;40.18
318;41.36
319;41.42
320;18.3
321;10.64
322;1.29
323;0.41
324;0.23
325;0.3
326;0.09
327;0.48
328;0.07
329;0.1
330;0.11
331;0.11
332;0.08
333;0.08
334;0.08
335;0.14
336;0.66
337;1.02
338;10.58
339;14.84
340;5.45
341;1.92
342;1.92
343;0.6
344;0.22
345;0.08
346;0.06
347;0.12
348;0.1
349;0.2
350;0.12
351;0.14
352;0.14
353;0.11
354;0.08
355;0.1
356;0.06
357;0.08
358;0.22
359;0.06
360;0.08
361;0.1
362;0.04
363;0.04
364;0.1
365;0.08
366;0.74
367;1.76
368;0.08
369;0.08
370;0.13
371;0.14
372;0.24
373;2.62
374;0.1
375;0.04
376;0.02
377;0.06
378;0.02
379;0.08
380;1.96
381;3.06
382;0.88
383;0.16
384;0.02
385;0.04
386;0.1
387;0.08
388;24.39
389;0.03
390;0.04
391;8.11
392;13.06
393;9.63
394;2.49
395;3.24
396;1.79
397;0.95
398;0.73
399;0.48
400;0.44
401;0.04
402;0.03
403;0.03
404;0.49
405;12.98
406;12.83
407;18.2
408;30.2
409;33.77
410;21.55
411;20.08
412;9.4
413;8.75
414;6.59
415;4.91
416;1.78
417;1.57
418;1.79
419;1.11
420;0.57
421;0.69
422;0.77
423;0.03
424;0.73
425;0.03
426;9.29
427;2.99
428;0.25
429;0.08
430;0.54
431;0.23
432;0.06
433;0.04
434;0.04
435;0.02
436;0.06
437;0.12
438;0.1
439;0.1
440;0.03
441;0.02
442;0.04
443;0.44
444;0.06
445;0.02
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0.15
498;0.24
499;0.64
500;0.22
501;0.3
502;0.12
503;0.08
504;0.08
505;0.06
506;0.03
507;0.4
508;0.26
509;0.06
510;0.04
