Sekkak-Learn;
Sekkak-Learn;
N;C
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0.01
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0.01
27;0
28;0.01
29;0
30;0
31;0.01
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0.02
74;0.01
75;0
76;0
77;0
78;0
79;0
80;0
81;0.01
82;0.01
83;0.01
84;0.01
85;0.01
86;0.02
87;0.09
88;0.05
89;0.02
90;0.02
91;0.01
92;0
93;0
94;0.01
95;0
96;0.01
97;0.01
98;0.01
99;0
100;0.01
101;0
102;0.01
103;0.01
104;0.01
105;0.01
106;0.01
107;0.01
108;0.01
109;0
110;0.01
111;0.01
112;0.01
113;0.01
114;0.01
115;0
116;0
117;0
118;0
119;0
120;0
121;0
122;0
123;0
124;0
125;0
126;0
127;0
128;0
129;0
130;0
131;0
132;0
133;0
134;0
135;0
136;0
137;0
138;0
139;0
140;0
141;0
142;0.01
143;0
144;0.01
145;0.01
146;0.01
147;0.01
148;0
149;0.01
150;0.01
151;0.01
152;0.01
153;0.01
154;0.01
155;0.01
156;0.01
157;0.01
158;0.01
159;0
160;0
161;0
162;0.01
163;0
164;0
165;0.01
166;0
167;0.01
168;0
169;0
170;0
171;0.01
172;0.01
173;0.01
174;0.01
175;0
176;0
177;0
178;0
179;0
180;0
181;0
182;0
183;0
184;0.01
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;0
193;0
194;0
195;0
196;0
197;0
198;0
199;0
200;0
201;0
202;0
203;0
204;0
205;0
206;0
207;0
208;0
209;0.01
210;0.01
211;0.01
212;0.01
213;0.01
214;0.01
215;0.01
216;0.01
217;0.01
218;0.01
219;0
220;0.01
221;0
222;0
223;0
224;0.01
225;0.01
226;0
227;0
228;0
229;0
230;0
231;0
232;0
233;0
234;0
235;0
236;0.17
237;0.01
238;0.01
239;0
240;0
241;0
242;0
243;0
244;0
245;0
246;0
247;0
248;0.01
249;0
250;0
251;0
252;0
253;0
254;0.03
255;0
256;0.01
257;0.03
258;0.09
259;0.06
260;0.07
261;0.43
262;0.02
263;0.04
264;0.08
265;0.03
266;0.03
267;0.15
268;0.14
269;0.14
270;0.12
271;0.15
272;0.31
273;0.22
274;0.35
275;0.21
276;0.28
277;0.2
278;0.08
279;0.02
280;0.08
281;0.02
282;0.06
283;0.16
284;0.46
285;0.18
286;0.08
287;0.1
288;0.08
289;0.14
290;0.14
291;0.1
292;0.42
293;0.14
294;0.16
295;0.06
296;2.7
297;2.78
298;1.23
299;1.32
300;1.32
301;1.56
302;1.73
303;1.2
304;1.21
305;1.94
306;4.28
307;0.4
308;0.34
309;0.33
310;0.33
311;0.27
312;0.24
313;0.38
314;0.37
315;0.18
316;0.24
317;0.12
318;0.02
319;0.06
320;0.04
321;0.06
322;0.1
323;0.02
324;0.18
325;0.04
326;0.04
327;0.16
328;0.06
329;0.02
330;0.02
331;0.02
332;0.02
333;0.04
334;0.04
335;0.02
336;0
337;0
338;0.06
339;0.1
340;0.12
341;0
342;0
343;0.1
344;0
345;0.1
346;0
347;0
348;0
349;0
350;0.1
351;0.08
352;0.08
353;0.12
354;1.12
355;0
356;0.2
357;0.22
358;0.18
359;0.26
360;0.18
361;0.2
362;0.2
363;0.18
364;0.18
365;0.18
366;0.22
367;0.3
368;0.2
369;0.2
370;0.4
371;0.22
372;0.16
373;0.18
374;0.16
375;0.18
376;0.02
377;0.02
378;0.02
379;0.02
380;0.02
381;0.01
382;0
383;0.02
384;0.02
385;0
386;0.06
387;0
388;0
389;0.02
390;0
391;0
392;2.74
393;1.82
394;0.26
395;0.02
396;0.06
397;0.04
398;0.04
399;4.26
400;0.06
401;0.08
402;0.42
403;0.1
404;0
405;0.02
406;0.04
407;0.2
408;0.12
409;0.36
410;0.04
411;0.04
412;1
413;0.48
414;0.1
415;0.04
416;0.04
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0.02
431;0
432;0
433;0.01
434;0
435;0
436;0
437;0
438;0.01
439;0
440;0
441;0
442;0
443;0.02
444;0.04
445;0
446;0.02
447;0.01
448;0.02
449;0.02
450;0.02
451;0.02
452;0.02
453;0.02
454;0.02
455;0.01
456;0.02
457;0.02
458;0
459;0
460;0
461;0
462;0
463;0
464;0.03
465;0.02
466;0.04
467;0.02
468;1.4
469;1.4
470;4.46
471;4.24
472;5.08
473;2.5
474;6.66
475;2.02
476;1.84
477;0.2
478;1.12
479;1.92
480;1.84
481;1.82
482;2.54
483;1.96
484;1.84
485;1.94
486;1.98
487;1.82
488;1.86
489;1.98
490;1.36
491;0.78
492;0.92
493;0.52
494;0.4
495;0.34
496;0.34
497;0.06
498;0.16
499;0.14
500;0.2
501;0.12
502;0.02
503;0
504;0
505;0
506;0
507;0
508;0
509;1.56
510;1.88
511;1.64
512;1.68
513;1.66
514;1.8
515;1.84
516;1.34
517;1.92
518;1.62
519;1.92
520;1.78
521;1.74
522;1.44
523;1.54
524;1.08
525;1.1
526;0.8
527;0.8
