(30% - VALIDATION) Apports Liquides-Solide Barrage Sidi Aissa;
Apports Liquides Q-Solide C. Barrage Sidi Aissa RU160614 (30% =608 observation);
N;C
1419;5.26
1420;0.56
1421;0.26
1422;0.28
1423;0.28
1424;0.04
1425;0.04
1426;0.42
1427;0.08
1428;0.02
1429;0.04
1430;0.02
1431;0.04
1432;0.04
1433;0.1
1434;0.06
1435;0.06
1436;0.03
1437;0.02
1438;0.04
1439;0.04
1440;0.12
1441;0
1442;0
1443;0
1444;0
1445;0
1446;0
1447;0
1448;0
1449;0
1450;0
1451;0
1452;0
1453;0
1454;0
1455;0
1456;0
1457;0
1458;0
1459;0
1460;0
1461;0
1462;0
1463;0
1464;0
1465;0
1466;0
1467;0
1468;0
1469;0
1470;0
1471;0
1472;0
1473;0
1474;0
1475;0
1476;0
1477;0
1478;0
1479;0
1480;0
1481;0
1482;0
1483;0
1484;0.05
1485;0.08
1486;0.1
1487;15.47
1488;4.54
1489;7.46
1490;3.56
1491;3.58
1492;0.8
1493;0.24
1494;9.84
1495;14.7
1496;42.59
1497;16.36
1498;6.96
1499;9.8
1500;6.12
1501;7.02
1502;13.2
1503;0.04
1504;0.08
1505;0
1506;0
1507;0
1508;0
1509;0
1510;0
1511;0
1512;53.92
1513;22.55
1514;4.73
1515;47.85
1516;0.81
1517;0.07
1518;0.04
1519;0.06
1520;0.06
1521;0.04
1522;0.05
1523;17.6
1524;0.1
1525;0.04
1526;0.1
1527;0.04
1528;0.06
1529;0.04
1530;0.04
1531;0.05
1532;0.06
1533;0.06
1534;0.04
1535;0.08
1536;0.8
1537;0.48
1538;0.03
1539;0.02
1540;0.02
1541;0.04
1542;0.04
1543;0.04
1544;0.02
1545;52.12
1546;31.56
1547;1.67
1548;1.16
1549;0.62
1550;0.5
1551;14.94
1552;15.3
1553;15.78
1554;0.04
1555;0.06
1556;0.05
1557;0.06
1558;0.04
1559;0.06
1560;16.14
1561;22.66
1562;15.36
1563;21.6
1564;4.76
1565;0.02
1566;1.72
1567;0.44
1568;0.58
1569;0.46
1570;0.32
1571;0.36
1572;0.32
1573;0.2
1574;0.26
1575;0.08
1576;0.04
1577;0.03
1578;0.04
1579;0.06
1580;0.02
1581;4.38
1582;37.16
1583;13.08
1584;5.52
1585;1.4
1586;0.8
1587;0.44
1588;0.3
1589;0.34
1590;0.1
1591;0.16
1592;0.04
1593;0.22
1594;0.04
1595;0.11
1596;0.08
1597;0.1
1598;0.14
1599;0.1
1600;0.08
1601;0.06
1602;0.02
1603;0.02
1604;0
1605;0
1606;0
1607;0
1608;0
1609;0
1610;0
1611;0
1612;0
1613;0
1614;0
1615;0
1616;0
1617;0
1618;0
1619;0
1620;0
1621;0
1622;0
1623;0
1624;0
1625;0
1626;0
1627;0
1628;0
1629;0
1630;0
1631;0
1632;0
1633;0
1634;0
1635;0
1636;0
1637;0
1638;0
1639;18.75
1640;29.12
1641;25.94
1642;1.5
1643;0.16
