Sekkak-Test;
Sekkak-Test;
N;C
1;0.02
2;0.02
3;0.04
4;0.04
5;7.4
6;3.22
7;3.12
8;2.33
9;3.72
10;5.68
11;10.14
12;10.92
13;23.72
14;16.4
15;14.58
16;15.3
17;0.04
18;0.2
19;0.34
20;0.28
21;0.34
22;0.34
23;0.34
24;0.36
25;0.04
26;0.06
27;0.06
28;0.04
29;0.02
30;0.12
31;0.14
32;0.06
33;0.02
34;0.04
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;0
53;19.47
54;22.06
55;22.46
56;4.42
57;2.62
58;0.52
59;3.16
60;2.9
61;0.32
62;0.07
63;0.08
64;0.06
65;0.04
66;0.04
67;0.04
68;0.04
69;0.04
70;0.04
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0.05
87;0.06
88;0.12
89;0.06
90;2.12
91;0.3
92;0.14
93;0.04
94;0.07
95;0.12
96;0.94
97;0.04
98;0.02
99;0.1
100;0.12
101;5.34
102;0.06
103;0.06
104;0.04
105;0.06
106;0.06
107;0.04
108;8.68
109;12.36
110;12.42
111;0.88
112;8.12
113;0.06
114;0.04
115;0.06
116;0.06
117;0.04
118;0.04
119;0.04
120;0.02
121;0.04
122;0.04
123;0.04
124;0.02
125;0.02
126;0.02
127;0
128;0
129;0
130;0
131;0
132;0.05
133;0.66
134;0.14
135;0.16
136;0.3
137;0.38
138;0.1
139;0.12
140;0.03
141;0.06
142;0.06
143;0.04
144;0.04
145;0.04
146;0.28
147;0.05
148;0.06
149;0.08
150;0.06
151;0.08
152;0.04
153;0.04
154;0.02
155;0.06
156;0.03
157;0.04
158;0.02
159;0.04
160;0.04
161;0.04
162;0.04
163;0.03
164;0.02
165;0.08
166;0.02
167;0.02
168;0.04
169;0.06
170;0.04
171;0.04
172;0.05
173;0.04
174;0.04
175;0.04
176;0.08
177;0.04
178;0.05
179;0.04
180;3.32
181;1.36
182;0.32
183;3.78
184;0.64
185;0.06
186;0.06
187;0.66
188;0.08
189;0.04
190;0.06
191;0.04
192;0.08
193;0.06
194;2
195;1.5
196;1.75
197;2.7
198;1.88
199;0.72
200;3.56
201;0.64
202;1.98
203;0.4
204;0.34
205;0.06
206;0.38
207;0.66
208;0.7
209;1.38
210;2.68
211;1.68
212;1.8
213;2.24
214;1.6
215;0.82
216;1.22
217;1.3
218;1.74
219;1.98
220;1.7
221;0.66
222;1.06
223;0.5
224;1
225;0.92
226;2.52
227;6.16
228;7.06
229;11.38
230;14.16
231;5.88
232;2.41
233;2.94
234;6.72
235;3.37
236;16.26
237;5.94
238;4.25
239;1.03
240;2.65
241;2.97
242;2.86
243;2.9
244;2.76
245;4.5
246;2.69
247;3.73
248;6.92
249;8.58
250;5.67
251;4.56
252;6.27
253;8.54
254;5.15
255;5.82
256;6.16
257;5.99
258;5.73
259;7.84
260;7.03
261;18.52
262;10.19
263;9.49
264;8.08
265;4.8
266;4.31
267;0.05
268;0.06
269;0.04
270;0.04
271;0.04
272;0.02
273;0.02
274;0.02
275;0.02
276;0.03
277;0
278;0
279;0
280;0
281;0
282;0
283;0.05
284;0.06
285;0.42
286;16.42
287;7.66
288;6.74
289;3.98
290;0.48
291;0.74
292;1.09
293;1.62
294;1.38
295;0.66
296;0.76
297;0.46
298;0.72
299;0.46
300;0.5
301;0.03
302;0.04
303;0.02
304;0.04
305;0.78
306;0.88
307;0.4
308;0.28
309;0.02
310;0.03
311;0.04
312;2
313;1.22
314;1.38
315;0.7
316;0.2
317;0.22
318;0.36
319;0
320;0
321;0
322;0
323;0
324;0
325;0
326;0
327;0.74
328;0.99
329;0.34
330;0.03
331;0.04
332;0.03
333;0.11
334;0.03
335;0.03
336;0.01
337;0.05
338;0.08
339;0.06
340;0.04
341;0.04
342;0.04
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0.03
353;0.04
354;0.02
355;0.02
356;0
357;0
358;0.02
359;0.02
360;16.25
361;13.72
362;12.35
363;11.81
364;12.66
365;1.77
366;1.74
367;0.97
368;0.27
369;0.85
370;0.43
371;0.47
372;0.41
373;0.02
374;0.02
375;0.01
376;0.02
377;0.01
378;0.01
379;0.02
380;0.05
381;0.04
382;0.78
383;0.62
384;1.5
385;0.06
386;0.08
387;13.84
388;14.16
389;14.12
390;14.1
391;7.78
392;8.12
393;3.64
394;0.06
395;0.04
396;0.06
397;0.04
398;0.1
399;0.12
400;0.2
401;0.04
402;0.04
403;0.04
404;0.04
405;0.04
406;0.02
407;0.04
408;0.08
409;0
410;0
411;0
412;0
413;0
414;0.05
415;0.04
416;0.06
417;0.06
418;3.1
419;2.14
420;0.98
421;0.36
422;0.18
423;0.05
424;0.06
425;0.32
426;0.04
427;0.04
428;0.04
429;0.06
430;0.06
431;0.04
432;0.05
433;0.04
434;0.04
435;0.04
436;0.06
437;0.02
438;0.04
439;0.02
440;0.04
441;0.03
442;0.2
443;0.24
444;0.24
445;0.04
446;0.08
447;0.03
448;0.08
449;0.08
450;0.06
451;0.04
452;0.06
453;0.06
454;0.04
455;0.06
456;0.03
457;0.04
458;0.02
459;0.02
460;0.04
461;0.04
462;0.06
463;0.07
464;0.08
465;0.08
466;0.04
467;0.04
468;0.04
469;0.4
470;0.36
471;0.26
472;0.02
473;0.04
474;0.04
475;0.02
476;0.04
477;0.03
478;0.1
479;0.04
480;0.16
481;0.02
482;0.04
483;0.02
484;0.02
485;0.04
486;0.05
487;0.04
488;0.14
489;0.22
490;3.84
491;0.04
492;0.04
493;0.03
494;0.04
495;0.04
496;0.02
497;0.02
498;0.02
499;0.04
500;0.1
501;0.04
502;0.03
503;0.04
504;0.02
505;0.06
506;0.04
507;0.03
508;0.06
509;0.06
510;2.08
511;2.28
512;1.5
513;1.46
514;0.8
515;1.4
516;0.73
517;0.66
518;1.72
519;4.04
520;2.46
521;2.52
522;1.42
523;1.44
524;1.46
525;1.13
526;0.34
527;0.32
528;0.52
