Data serie DT.
Data serie DT description.
N;X;Y;Z;T
1;1;2;3;1.0
2;2;4;3.5;1.7
3;3;6;4;2.3
4;4;8;4.5;2.7
5;5;10;5;3.0
6;6;12;5.5;3.3
7;7;14;6;3.5
8;8;16;6.5;3.7
9;9;18;7;3.9
10;10;20;7.5;4.0
11;11;22;8;4.1
12;12;24;8.5;4.2
13;13;26;9;4.3
14;14;28;9.5;4.4
15;15;30;10;4.5
16;16;32;10.5;4.6
17;17;34;11;4.6
18;18;36;11.5;4.7
19;19;38;12;4.8
20;20;40;12.5;4.8
21;21;42;13;4.8
22;22;44;13.5;4.9
23;23;46;14;4.9
24;24;48;14.5;5.0
25;25;50;15;5.0
26;26;52;15.5;5.0
27;27;54;16;5.1
28;28;56;16.5;5.1
29;29;58;17;5.1
30;30;60;17.5;5.1
31;31;62;18;5.2
32;32;64;18.5;5.2
33;33;66;19;5.2
34;34;68;19.5;5.2
35;35;70;20;5.3
36;36;72;20.5;5.3
37;37;74;21;5.3
38;38;76;21.5;5.3
39;39;78;22;5.3
40;40;80;22.5;5.3
41;41;82;23;5.3
42;42;84;23.5;5.4
43;43;86;24;5.4
44;44;88;24.5;5.4
45;45;90;25;5.4
46;46;92;25.5;5.4
47;47;94;26;5.4
48;48;96;26.5;5.4
49;49;98;27;5.4
50;50;100;27.5;5.5
51;51;102;28;5.5
52;52;104;28.5;5.5
53;53;106;29;5.5
54;54;108;29.5;5.5
55;55;110;30;5.5
56;56;112;30.5;5.5
57;57;114;31;5.5
58;58;116;31.5;5.5
59;59;118;32;5.5
60;60;120;32.5;5.5
61;61;122;33;5.5
62;62;124;33.5;5.6
63;63;126;34;5.6
64;64;128;34.5;5.6
65;65;130;35;5.6
66;66;132;35.5;5.6
67;67;134;36;5.6
68;68;136;36.5;5.6
69;69;138;37;5.6
70;70;140;37.5;5.6
71;71;142;38;5.6
72;72;144;38.5;5.6
73;73;146;39;5.6
74;74;148;39.5;5.6
75;75;150;40;5.6
76;76;152;40.5;5.6
77;77;154;41;5.6
78;78;156;41.5;5.6
79;79;158;42;5.6
80;80;160;42.5;5.6
81;81;162;43;5.7
82;82;164;43.5;5.7
83;83;166;44;5.7
84;84;168;44.5;5.7
85;85;170;45;5.7
86;86;172;45.5;5.7
87;87;174;46;5.7
88;88;176;46.5;5.7
89;89;178;47;5.7
90;90;180;47.5;5.7
91;91;182;48;5.7
92;92;184;48.5;5.7
93;93;186;49;5.7
94;94;188;49.5;5.7
95;95;190;50;5.7
96;96;192;50.5;5.7
97;97;194;51;5.7
98;98;196;51.5;5.7
99;99;198;52;5.7
100;100;200;52.5;5.7
