(70%-ENTRAINEMENT) Apports Liquides-Solide Barrage Sidi Aissa;
Apports Liquides Q-Solide C. Barrage Sidi Aissa RU160614 (70% =1418 observations);
T;QL_CON
1;0.003
2;0.248
3;2.66
4;2.346
5;1.718
6;1.09
7;0.933
8;0.776
9;0.672
10;0.567
11;0.503
12;0.408
13;0.344
14;0.248
15;0.216
16;0.153
17;0.153
18;0.122
19;0.081
20;0.073
21;0.047
22;0.012
23;0.003
24;0.081
25;0.672
26;0.881
27;0.408
28;0.312
29;0.248
30;0.232
31;0.232
32;0.232
33;0.216
34;0.248
35;0.248
36;0.28
37;0.232
38;0.248
39;0.216
40;0.216
41;0.216
42;0.232
43;0.216
44;0.216
45;0.216
46;0.201
47;0.216
48;0.201
49;0.185
50;0.185
51;0.185
52;0.169
53;0.185
54;0.216
55;0.185
56;0.169
57;0.185
58;0.201
59;0.232
60;0.232
61;0.248
62;0.216
63;0.216
64;0.28
65;0.248
66;0.248
67;0.232
68;0.185
69;0.216
70;0.216
71;0.216
72;0.232
73;0.248
74;0.232
75;0.201
76;0.137
77;0.106
78;0.073
79;0.169
80;0.216
81;0.185
82;0.106
83;0.081
84;0.064
85;0.047
86;0.002
87;0.001
88;0.61
89;8.88
90;55.53
91;75
92;108.6
93;94.8
94;76.2
95;100.2
96;123
97;141
98;143.4
99;135
100;111.6
101;88.2
102;67.92
103;53.17
104;39.6
105;30.16
106;23.38
107;18.81
108;14.82
109;11.97
110;10.56
111;9.72
112;5.58
113;4.14
114;3.6
115;3.24
116;2.34
117;2.16
118;2.07
119;1.8
120;1.32
121;1
122;0.805
123;0.74
124;0.74
125;0.675
126;0.87
127;1
128;1
129;0.805
130;0.74
131;0.675
132;0.545
133;0.545
134;0.35
135;0.288
136;0.184
137;0.225
138;0.13
139;0.13
140;0.288
141;0.87
142;1.98
143;4.32
144;4.77
145;3.96
146;4.5
147;2.7
148;0.87
149;0.675
150;0.545
151;0.415
152;0.415
153;0.204
154;0.204
155;0.118
156;0.105
157;0.105
158;0.118
159;0.105
160;0.093
161;0.057
162;0.118
163;0.118
164;0.118
165;0.118
166;0.13
167;0.13
