Sekkak-Learn;
Sekkak-Learn;
N;Q
1;1.1
2;0.86
3;1.1
4;0.86
5;1.1
6;0.86
7;1.1
8;0.86
9;1.1
10;0.9
11;1.31
12;0.86
13;0.9
14;1.05
15;1.1
16;1.1
17;1.1
18;1.1
19;0.9
20;1.1
21;1.1
22;1.1
23;1.1
24;1.1
25;1.31
26;1.1
27;1.1
28;1.1
29;1.1
30;1.1
31;1.1
32;1.1
33;1.1
34;1.31
35;1.1
36;1.1
37;1.1
38;1.1
39;1.39
40;1.31
41;1.39
42;1.31
43;1.31
44;1.1
45;1.1
46;1.1
47;1.1
48;1.1
49;1.1
50;1.5
51;1.1
52;1.1
53;1.1
54;1.1
55;1.1
56;1.1
57;1.1
58;1.1
59;1.1
60;1.1
61;1.1
62;1.1
63;1.1
64;1.1
65;1.1
66;1.1
67;1.31
68;1.47
69;1.39
70;1.31
71;1.1
72;1.1
73;2.4
74;1.5
75;1.49
76;1.5
77;1.49
78;1.49
79;1.49
80;1.47
81;3.5
82;3.2
83;3.2
84;3.2
85;3.2
86;4.9
87;9.7111111111
88;9.36
89;8
90;6.25
91;4.6
92;3.54
93;2.94
94;2.7
95;2.4
96;2.4
97;4.6
98;4.9
99;3.5
100;3.4
101;3.5
102;3.5
103;2.9
104;2.8
105;2.5
106;2.3
107;2
108;2
109;1.6
110;1.9
111;1.7
112;1.7
113;1.6
114;1.5
115;1.5
116;1.5
117;1.47
118;1.5
119;1.49
120;1.39
121;1.31
122;1.31
123;1.31
124;1.47
125;1.39
126;1.31
127;1.31
128;1.31
129;1.31
130;3.2
131;1.8
132;1.15
133;1.15
134;1.39
135;0.9
136;0.9
137;1.05
138;1.05
139;0.9
140;0.9
141;0.9
142;0.9
143;0.9
144;0.9
145;0.8
146;0.9
147;0.9
148;0.9
149;0.8
150;0.8
151;0.8
152;0.8
153;0.8
154;0.8
155;0.8
156;0.8
157;0.8
158;0.8
159;0.8
160;0.8
161;0.8
162;0.8
163;0.8
164;0.8
165;0.8
166;0.8
167;0.8
168;0.7
169;0.7
170;0.7
171;0.7
172;0.8
173;0.7
174;0.7
175;0.53
176;0.7
177;0.7
178;0.7
179;0.7
180;0.7
181;0.7
182;0.7
183;0.8
184;0.8
185;0.8
186;0.8
187;0.8
188;0.8
189;0.8
190;0.8
191;0.8
192;0.8
193;0.8
194;0.8
195;0.8
196;0.8
197;0.7
198;0.8
199;0.8
200;0.8
201;0.8
202;0.8
203;0.8
204;0.8
205;0.8
206;0.8
207;0.8
208;0.8
209;0.8
210;0.8
211;0.8
212;0.8
213;0.8
214;0.8
215;0.8
216;0.8
217;0.8
218;0.8
219;0.8
220;0.8
221;0.8
222;0.8
223;0.8
224;0.8
225;0.8
226;0.8
227;0.7
228;0.7
229;0.7
230;0.7
231;0.8
232;0.7
233;0.8
234;0.8
235;0.8
236;1.3882352941
237;3.6
238;1.8
239;1.55
240;0.7
241;1.39
242;0.9
243;0.9
244;0.8
245;0.8
246;0.8
247;0.8
248;11.7
249;0.8
250;0.8
251;0.8
252;0.8
253;0.8
254;0.88
255;0.8
256;0.9
257;0.8666666667
258;0.8111111111
259;0.8166666667
260;0.8142857143
261;0.8093023256
262;0.8
263;0.8
264;0.8125
265;0.8
266;0.8
267;2.0266666667
268;3.1428571429
269;2.5214285714
270;4.3083333333
271;9.2133333333
272;5.4451612903
273;5.5863636364
274;7.9085714286
275;7.0238095238
276;9.025
277;7.72
278;5.45
279;5.3
280;4.1
281;3.55
282;3.7833333333
283;5.30625
284;11.3
285;9.2111111111
