(30% - VALIDATION) Apports Liquides-Solide Barrage Sidi Aissa;
Apports Liquides Q-Solide C. Barrage Sidi Aissa RU160614 (30% =608 observation);
N;Q
1419;1.024
1420;0.619
1421;0.508
1422;0.508
1423;0.396
1424;0.367
1425;0.338
1426;0.536
1427;0.703
1428;0.536
1429;0.396
1430;0.367
1431;0.31
1432;0.281
1433;0.253
1434;0.253
1435;0.225
1436;0.253
1437;0.253
1438;0.253
1439;0.253
1440;0.225
1441;0.196
1442;0.168
1443;0.196
1444;0.168
1445;0.139
1446;0.196
1447;0.168
1448;0.125
1449;0.168
1450;0.125
1451;0.139
1452;0.139
1453;0.125
1454;0.112
1455;0.139
1456;0.112
1457;0.099
1458;0.099
1459;0.099
1460;0.125
1461;0.112
1462;0.085
1463;0.085
1464;0.099
1465;0.125
1466;0.139
1467;0.125
1468;0.099
1469;0.085
1470;0.004
1471;0.004
1472;0.003
1473;0.003
1474;0.003
1475;0.031
1476;0.031
1477;0.004
1478;0.045
1479;0.085
1480;0.003
1481;0.004
1482;0.018
1483;0.002
1484;0.072
1485;0.085
1486;0.045
1487;0.045
1488;0.058
1489;0.125
1490;0.338
1491;0.253
1492;0.058
1493;0.002
1494;1.494
1495;2.365
1496;10.59
1497;31.48
1498;2.71
1499;1.494
1500;0.72
1501;1.442
1502;0.212
1503;0.14
1504;0.128
1505;0.115
1506;0.103
1507;0.103
1508;0.09
1509;0.09
1510;0.09
1511;0.09
1512;20.44
1513;23.8
1514;1.546
1515;11.28
1516;0.284
1517;0.236
1518;0.188
1519;0.188
1520;0.164
1521;0.164
1522;0.164
1523;0.26
1524;0.188
1525;0.164
1526;0.14
1527;0.14
1528;0.128
1529;0.115
1530;0.103
1531;0.103
1532;0.14
1533;0.236
1534;0.14
1535;0.14
1536;0.308
1537;0.212
1538;0.188
1539;0.14
1540;0.14
1541;0.164
1542;0.14
1543;0.128
1544;0.115
1545;3.055
1546;3.97
1547;0.448
1548;0.414
1549;0.308
1550;0.236
1551;0.356
1552;0.356
1553;0.308
1554;0.332
1555;0.284
1556;0.284
1557;0.26
1558;0.236
1559;0.236
1560;30.52
1561;37.24
1562;42.04
1563;48.28
1564;16.42
1565;12.04
1566;9.66
1567;5.11
1568;3.4
1569;1.598
1570;1.007
1571;0.652
1572;0.584
1573;0.448
1574;0.414
1575;0.448
1576;0.38
1577;0.356
1578;0.332
1579;0.332
1580;0.332
1581;0.516
1582;0.966
1583;21.06
1584;29.38
1585;44.82
1586;10.02
1587;8.4
1588;4.305
1589;2.8
1590;1.943
1591;1.36
1592;1.045
1593;0.869
1594;0.658
1595;0.587
1596;0.552
1597;0.482
1598;0.411
1599;0.352
1600;0.303
1601;0.23
1602;0.156
1603;0.205
1604;0.181
1605;0.12
1606;0.108
1607;0.12
1608;0.108
1609;0.108
1610;0.108
1611;0.108
1612;0.12
1613;0.096
1614;0.132
1615;0.12
1616;0.108
1617;0.156
1618;0.12
1619;0.156
1620;0.108
1621;0.181
1622;0.12
1623;0.12
1624;0.12
1625;0.12
1626;0.132
1627;0.12
1628;0.132
1629;0.132
1630;0.12
1631;0.12
1632;0.108
1633;0.12
1634;0.06
1635;0.06
1636;0.072
1637;0.012
1638;0.004
1639;0.446
1640;0.763
1641;0.327
1642;0.108
1643;0.048
1644;2.56
1645;25.5
1646;55
1647;51.667
1648;105.8
1649;66.667
1650;3.44
1651;12.56
1652;0.862
1653;0.629
1654;0.262
1655;0.153
1656;0.125
1657;0.091
1658;0.068
1659;0.068
1660;0.057
1661;0.046
1662;0.035
1663;0.023
1664;0.023
1665;0.012
1666;0.023
1667;0.057
1668;0.012
1669;0.035
1670;6.34
1671;26.8
1672;50.88
1673;60.48
1674;66.24
1675;15.35
1676;8.54
1677;4.335
1678;1.336
1679;1.071
1680;0.672
1681;1.232
1682;0.854
1683;0.672
1684;0.526
1685;0.49
1686;0.49
1687;0.453
1688;0.418
1689;0.383
1690;0.349
1691;0.349
1692;0.314
1693;0.314
1694;0.314
1695;0.314
1696;0.314
1697;0.314
1698;0.383
1699;0.383
1700;0.314
1701;0.314
1702;0.314
1703;0.279
1704;0.279
1705;0.279
1706;0.279
1707;0.279
1708;0.244
1709;0.209
1710;0.244
1711;0.244
1712;0.175
1713;0.175
1714;0.175
1715;0.209
1716;0.14
1717;0.14
1718;0.105
1719;0.14
1720;0.14
1721;0.105
1722;0.095
1723;0.105
1724;0.175
1725;0.175
1726;0.095
1727;0.057
1728;0.086
1729;0.095
1730;0.244
1731;0.244
1732;0.244
1733;0.175
1734;0.105
1735;0.175
1736;0.105
1737;0.067
1738;0.067
1739;0.048
1740;0.038
1741;0.095
1742;0.057
1743;0.599
1744;0.453
1745;0.244
1746;0.244
1747;0.175
1748;0.781
1749;0.709
1750;0.349
1751;0.175
1752;0.095
1753;0.067
1754;0.038
1755;0.038
1756;0.038
1757;0.963
1758;1.7
1759;0.453
1760;0.279
1761;0.244
1762;0.14
1763;0.105
1764;0.048
1765;0.029
1766;0.038
1767;0.038
1768;0.038
1769;0.029
1770;0.048
1771;0.067
1772;0.038
1773;0.067
1774;4.16
1775;2.32
1776;2.32
1777;1.74
1778;1.4
1779;0.656
1780;1
1781;0.225
1782;0.057
1783;0.076
1784;0.066
1785;0.076
1786;0.085
1787;0.225
1788;2.76
1789;2.54
1790;1.98
1791;1.3
1792;0.468
1793;0.306
1794;0.185
1795;0.144
1796;0.144
1797;0.104
1798;0.144
1799;0.104
1800;0.104
1801;0.104
1802;0.144
1803;0.104
1804;0.019
1805;0.104
1806;0.144
1807;0.104
1808;0.095
1809;0.144
1810;0.104
1811;0.144
1812;0.104
1813;0.104
1814;0.144
1815;1.68
1816;0.803
1817;1.1
1818;4.64
1819;9.92
1820;7.6
1821;5.76
1822;1.2
