Sekkak-Test;
Sekkak-Test;
N;Q
1;2.316
2;1.812
3;1.452
4;1.506
5;11.76
6;14.4
7;15.28
8;16.16
9;25.84
10;43.06
11;54.1
12;63.3
13;81.24
14;84
15;84.46
16;81.01
17;5.84
18;3.77
19;9.5
20;9.3
21;10.5
22;10.5
23;10.5
24;10.5
25;7.9
26;4.11
27;2.88
28;2.4
29;2.08
30;1.84
31;1.76
32;1.44
33;1.36
34;1.2
35;1.2
36;1.12
37;1.04
38;0.88
39;0.8
40;0.73
41;0.591
42;0.626
43;0.661
44;0.661
45;0.626
46;0.695
47;0.661
48;0.661
49;0.661
50;0.591
51;0.626
52;0.636
53;29.22
54;23.78
55;14.5
56;2.362
57;2.362
58;2.362
59;1.888
60;1.73
61;0.864
62;0.788
63;0.712
64;0.712
65;0.712
66;0.636
67;0.561
68;0.485
69;0.485
70;0.485
71;0.333
72;0.257
73;0.257
74;0.181
75;0.181
76;0.181
77;0.152
78;0.138
79;0.152
80;0.167
81;0.257
82;0.257
83;0.181
84;0.257
85;0.257
86;0.257
87;0.181
88;0.257
89;0.033
90;0.257
91;0.257
92;0.257
93;0.257
94;0.257
95;0.257
96;0.181
97;0.257
98;0.257
99;0.257
100;0.333
101;1.888
102;0.485
103;0.409
104;0.181
105;0.181
106;0.409
107;0.409
108;0.37
109;0.758
110;0.865
111;0.722
112;0.44
113;0.405
114;0.405
115;0.37
116;0.335
117;0.405
118;0.3
119;0.3
120;0.3
121;0.3
122;0.335
123;0.335
124;0.335
125;0.335
126;0.265
127;0.335
128;0.44
129;0.405
130;0.44
131;0.405
132;0.405
133;0.405
134;0.405
135;0.405
136;0.44
137;0.3
138;0.44
139;0.44
140;0.44
141;0.44
142;0.335
143;0.44
144;0.37
145;0.405
146;0.405
147;0.405
148;0.405
149;0.44
150;0.405
151;0.44
152;0.44
153;0.44
154;0.44
155;0.44
156;0.405
157;0.44
158;0.44
159;0.44
160;0.44
161;0.405
162;0.405
163;0.44
164;0.405
165;0.44
166;0.405
167;0.44
168;0.405
169;0.405
170;0.405
171;0.37
172;0.37
173;0.44
174;0.405
175;0.405
176;0.44
177;0.37
178;0.405
179;0.44
180;1.388
181;1.087
182;1.162
183;0.687
184;0.51
185;0.475
186;0.44
187;0.44
188;0.44
189;0.405
190;0.405
191;0.37
192;0.44
193;0.44
194;0.44
195;5.275
196;5.275
197;3.275
198;3.43
199;3.43
200;8.728
201;1.087
202;1.464
203;1.464
204;1.313
205;0.865
206;0.722
207;1.615
208;2.586
209;2.698
210;4.726
211;3.74
212;3.12
213;1.69
214;1.313
215;1.162
216;4.05
217;4.543
218;5.275
219;5.275
220;4.36
221;3.585
222;3.43
223;3.12
224;3.673
225;3.995
226;5.64
227;8.58
228;16.56
229;13.83
230;27.06
231;11.1
232;12.36
233;14.46
234;18.66
235;16.14
236;47.85
237;48.48
238;48.27
239;48.69
240;48.69
241;48.27
242;47.85
243;45.75
244;43.65
245;41.97
246;40.08
247;39.24
248;33.57
249;32.94
250;31.05
251;29.16
252;28.32
253;28.32
254;28.95
255;29.16
256;28.74
257;28.74
258;28.74
259;28.32
260;28.11
261;27.69
262;27.06
263;25.17
264;24.75
265;24.33
266;22.86
267;3.512
268;3.512
269;3.512
270;2.851
271;2.851
272;2.625
273;2.625
274;2.173
275;1.61
276;1.34
277;1.25
278;1.048
279;0.936
280;0.768
281;0.656
282;0.656
283;0.656
284;0.6
285;7.53
286;18.45
287;20.97
288;22.44
289;22.65
290;6.32
291;6.21
292;5.33
293;8.72
294;8.72
295;8.58
296;8.58
297;8.08
298;7.97
299;7.86
300;7.64
301;7.53
302;7.2
303;6.98
304;5.33
305;5.33
306;5.11
307;5
308;4.89
309;4.56
310;4.23
311;3.57
312;4.34
313;4.12
314;3.9
315;3.79
316;3.79
317;3.79
318;3.9
319;3.9
320;3.9
321;3.9
322;3.79
323;3.68
324;3.79
325;3.68
326;2.8
327;2.696
328;2.592
329;1.864
330;1.574
331;1.481
332;1.481
333;1.388
334;1.202
335;1.109
336;1.016
337;1.202
338;1.109
339;1.109
340;1.109
341;1.109
342;0.83
343;0.83
344;0.923
345;0.783
346;0.736
347;0.783
348;0.783
349;0.689
350;0.689
351;0.689
352;0.642
353;0.595
354;0.548
355;0.454
356;0.595
357;0.407
358;0.595
359;0.407
360;1.8
361;1.575
362;1.425
363;1.2
364;1.05
365;0.891
366;0.732
367;0.368
368;0.292
369;0.292
370;0.178
371;0.216
372;0.292
373;0.254
374;0.292
375;0.216
376;0.292
377;0.254
378;0.178
379;0.292
380;0.33
381;0.292
382;0.292
383;0.292
384;0.178
385;0.216
386;0.292
387;0.254
388;7.476
389;13
390;4.002
391;0.891
392;0.626
393;0.482
394;0.292
395;0.292
396;0.482
397;0.292
398;0.33
399;0.33
400;0.33
401;0.33
402;0.254
403;0.33
404;0.368
405;0.33
406;0.368
407;0.406
408;0.368
409;0.368
410;0.406
411;0.406
412;0.406
413;0.444
414;0.406
415;0.444
416;0.444
417;0.444
418;4.56
419;5.154
420;2.325
421;0.732
422;0.52
423;0.482
424;0.444
425;0.785
426;0.33
427;0.52
428;0.482
429;0.444
430;0.406
431;0.444
432;0.406
433;0.444
434;0.406
435;0.406
436;0.444
437;0.444
438;0.482
439;0.444
440;0.444
441;0.482
442;0.444
443;0.444
444;0.482
445;0.406
446;0.406
447;0.482
448;0.573
449;0.573
450;0.573
451;0.573
452;0.573
453;0.52
454;0.482
455;0.482
456;0.482
457;0.482
458;0.482
459;0.444
460;0.482
461;0.444
462;0.444
463;0.444
464;0.444
465;0.444
466;0.444
467;0.444
468;0.444
469;0.406
470;0.444
471;0.444
472;0.406
473;0.406
474;0.406
475;0.406
476;0.406
477;0.482
478;0.482
479;0.444
480;0.482
481;0.444
482;0.444
483;0.482
484;0.482
485;0.482
486;0.482
487;0.444
488;0.444
489;0.444
490;0.406
491;0.406
492;0.406
493;0.406
494;0.292
495;0.254
496;0.292
497;0.216
498;0.254
499;0.254
500;0.406
501;0.406
502;0.406
503;0.406
504;0.368
505;0.444
506;0.52
507;0.406
508;0.406
509;0.406
510;43.72
511;36.88
512;32.56
513;26.8
514;23.56
515;19.96
516;18.52
517;17.8
518;26.8
519;25
520;23.56
521;22.12
522;21.76
523;20.68
524;19.6
525;18.16
526;17.44
527;14.2
528;12.4
529;9.4
530;8.5
531;7.6
532;6.94
533;6.06
534;5.4
535;4.64
536;2.8
537;2.24
538;1.9
539;1.4
540;1.3
541;1.053
542;1.007
543;0.913
544;0.36
545;0.531
546;0.394
547;0.36
548;0.267
549;0.292
550;0.292
551;0.292
552;0.242
553;0.267
554;0.242
555;0.242
556;0.242
557;0.242
558;0.242
559;0.217
560;0.242
561;0.217
562;0.217
563;0.217
564;0.192
565;0.242
566;0.192
567;0.217
568;0.192
569;0.217
570;0.192
571;0.217
572;0.217
573;0.192
574;0.141
575;0.192
576;0.166
577;0.116
578;0.141
579;0.116
580;0.192
581;0.166
582;0.141
583;0.091
584;0.091
585;0.116
586;0.116
587;0.116
588;0.141
589;0.091
590;0.116
591;0.116
592;0.116
593;0.091
594;0.141
595;0.141
596;0.166
597;0.726
598;0.36
599;0.292
600;0.242
601;0.192
602;0.141
603;0.166
604;0.217
605;0.141
606;0.166
607;0.166
608;0.192
609;0.166
610;0.166
611;0.192
612;0.166
613;0.166
614;0.192
615;0.166
616;0.192
617;0.217
618;0.192
619;0.192
620;0.242
621;0.192
622;0.267
623;0.242
624;0.267
625;0.292
626;0.242
627;0.267
628;0.292
629;0.267
630;0.242
631;0.292
632;0.292
633;0.292
634;0.292
635;0.326
636;0.292
637;0.267
638;0.292
639;0.292
640;0.292
641;0.292
642;0.292
643;0.326
644;0.292
645;0.292
646;0.292
647;0.292
648;0.292
649;0.292
650;0.292
651;0.292
652;0.292
653;0.292
654;0.292
655;0.292
656;0.326
657;0.565
658;0.326
659;0.326
660;0.326
661;0.36
662;9.1
663;8.8
664;5.84
665;4.64
666;4.26
667;3.08
668;2.24
669;1.4
670;1.3
671;1.2
672;1.2
673;1.007
674;0.68
675;0.68
676;0.633
677;0.497
678;0.463
679;0.394
680;0.36
681;0.394
682;0.36
683;0.428
684;0.463
685;1.2
686;1.2
687;0.867
688;0.867
689;0.867
690;1.1
691;1.007
692;2.38
693;2.52
694;2.38
695;2.1
696;2.1
697;2
698;2
699;1.754
700;0.534
701;0.534
702;0.444
703;0.329
704;0.354
705;0.305
706;0.329
707;0.305
708;0.28
709;0.28
710;0.268
711;0.722
712;0.424
713;0.33
714;0.33
715;0.299
716;0.268
717;0.236
718;0.236
719;0.236
720;0.205
721;0.205
722;0.205
723;0.205
724;0.205
725;0.174
726;0.393
727;0.174
728;0.174
729;0.174
730;0.174
731;0.142
732;0.142
733;0.142
734;0.142
735;0.142
736;0.142
737;0.142
738;0.174
739;0.174
740;0.174
741;0.174
742;0.174
743;0.236
744;0.205
745;0.268
746;0.268
747;0.08
748;0.142
749;0.205
750;0.174
751;0.142
752;0.484
753;0.142
754;0.174
755;0.174
756;0.174
757;0.174
758;0.095
759;0.095
760;0.484
761;0.205
762;0.095
763;0.095
764;0.088
765;0.088
766;0.088
767;0.088
768;0.088
769;0.088
770;0.088
771;0.088
772;1.108
773;1.006
774;0.955
775;0.802
776;0.664
777;0.592
778;0.592
779;0.7
780;0.853
781;1.795
782;1.47
783;1.006
784;0.853
785;0.664
786;0.592
787;0.592
788;0.556
789;38.56
790;15.45
791;25.6
792;20.3
793;18.65
794;15.45
795;15
796;204
797;89.75
798;122
799;92.5
800;80.4
801;0.652
802;0.461
803;0.461
804;0.366
805;0.27
806;0.27
807;0.318
808;0.224
809;0.224
810;0.224
811;0.295
812;0.224
813;0.224
814;0.224
815;0.224
816;0.224
817;0.367
818;0.295
819;0.295
820;0.295
821;0.367
822;0.432
823;0.512
824;0.512
825;0.512
826;0.512
827;0.512
828;0.472
829;1.72
830;0.651
831;0.592
832;0.512
833;0.472
